證券代碼,簡稱,年月日,收盤價(元)
COID,Name,MDATE,CLOSE
6505   ,台塑化       ,20190226,   117.0000
1326   ,台化         ,20190227,   105.5000
1301   ,台塑         ,20190227,   102.5000
1303   ,南亞         ,20190227,    76.9000
6505   ,台塑化       ,20190227,   116.5000
1326   ,台化         ,20190304,   106.5000
1301   ,台塑         ,20190304,   101.5000
1303   ,南亞         ,20190304,    75.6000
6505   ,台塑化       ,20190304,   116.5000
1326   ,台化         ,20190305,   106.5000
1301   ,台塑         ,20190305,   102.0000
1303   ,南亞         ,20190305,    75.2000
6505   ,台塑化       ,20190305,   116.5000
1326   ,台化         ,20190306,   107.5000
1301   ,台塑         ,20190306,   103.0000
1303   ,南亞         ,20190306,    75.8000
6505   ,台塑化       ,20190306,   117.5000
1326   ,台化         ,20190307,   108.5000
1301   ,台塑         ,20190307,   105.5000
1303   ,南亞         ,20190307,    76.2000
6505   ,台塑化       ,20190307,   116.5000
1326   ,台化         ,20190308,   108.5000
1301   ,台塑         ,20190308,   104.0000
1303   ,南亞         ,20190308,    75.6000
6505   ,台塑化       ,20190308,   116.0000
1326   ,台化         ,20190311,   108.0000
1301   ,台塑         ,20190311,   103.0000
1303   ,南亞         ,20190311,    75.5000
6505   ,台塑化       ,20190311,   115.0000
1326   ,台化         ,20190312,   108.5000
1301   ,台塑         ,20190312,   104.5000
1303   ,南亞         ,20190312,    75.9000
6505   ,台塑化       ,20190312,   115.0000
1326   ,台化         ,20190313,   108.0000
1301   ,台塑         ,20190313,   104.5000
1303   ,南亞         ,20190313,    76.0000
6505   ,台塑化       ,20190313,   113.5000
1326   ,台化         ,20190314,   107.5000
1301   ,台塑         ,20190314,   104.0000
1303   ,南亞         ,20190314,    75.6000
6505   ,台塑化       ,20190314,   112.0000
1326   ,台化         ,20190315,   108.0000
1301   ,台塑         ,20190315,   105.5000
1303   ,南亞         ,20190315,    76.0000
6505   ,台塑化       ,20190315,   116.0000
1326   ,台化         ,20190318,   109.5000
1301   ,台塑         ,20190318,   106.5000
1303   ,南亞         ,20190318,    76.5000
6505   ,台塑化       ,20190318,   116.5000
1326   ,台化         ,20190319,   109.5000
1301   ,台塑         ,20190319,   106.0000
1303   ,南亞         ,20190319,    76.0000
6505   ,台塑化       ,20190319,   114.5000
1326   ,台化         ,20190320,   108.5000
1301   ,台塑         ,20190320,   106.5000
1303   ,南亞         ,20190320,    76.2000
6505   ,台塑化       ,20190320,   114.5000
1326   ,台化         ,20190321,   109.5000
1301   ,台塑         ,20190321,   106.5000
1303   ,南亞         ,20190321,    76.6000
6505   ,台塑化       ,20190321,   114.5000
1326   ,台化         ,20190322,   109.0000
1301   ,台塑         ,20190322,   107.5000
1303   ,南亞         ,20190322,    77.0000
6505   ,台塑化       ,20190322,   115.5000
1326   ,台化         ,20190325,   108.5000
1301   ,台塑         ,20190325,   106.5000
1303   ,南亞         ,20190325,    76.4000
6505   ,台塑化       ,20190325,   113.5000
1326   ,台化         ,20190326,   109.0000
1301   ,台塑         ,20190326,   108.0000
1303   ,南亞         ,20190326,    77.3000
6505   ,台塑化       ,20190326,   114.0000
1326   ,台化         ,20190327,   110.0000
1301   ,台塑         ,20190327,   109.0000
1303   ,南亞         ,20190327,    77.5000
6505   ,台塑化       ,20190327,   114.0000
1326   ,台化         ,20190328,   109.5000
1301   ,台塑         ,20190328,   109.0000
1303   ,南亞         ,20190328,    78.2000
6505   ,台塑化       ,20190328,   113.5000
1326   ,台化         ,20190329,   112.0000
1301   ,台塑         ,20190329,   109.5000
1303   ,南亞         ,20190329,    78.9000
6505   ,台塑化       ,20190329,   115.5000
1326   ,台化         ,20190401,   110.0000
1301   ,台塑         ,20190401,   107.5000
1303   ,南亞         ,20190401,    78.1000
6505   ,台塑化       ,20190401,   113.5000
1326   ,台化         ,20190402,   110.0000
1301   ,台塑         ,20190402,   108.0000
1303   ,南亞         ,20190402,    78.3000
6505   ,台塑化       ,20190402,   113.5000
1326   ,台化         ,20190403,   109.0000
1301   ,台塑         ,20190403,   108.0000
1303   ,南亞         ,20190403,    78.2000
6505   ,台塑化       ,20190403,   114.5000
1326   ,台化         ,20190408,   109.0000
1301   ,台塑         ,20190408,   108.0000
1303   ,南亞         ,20190408,    77.9000
6505   ,台塑化       ,20190408,   113.5000
1326   ,台化         ,20190409,   109.0000
1301   ,台塑         ,20190409,   109.5000
1303   ,南亞         ,20190409,    77.9000
6505   ,台塑化       ,20190409,   114.5000
1326   ,台化         ,20190410,   108.5000
1301   ,台塑         ,20190410,   110.0000
1303   ,南亞         ,20190410,    77.7000
6505   ,台塑化       ,20190410,   114.5000
1326   ,台化         ,20190411,   110.0000
1301   ,台塑         ,20190411,   110.0000
1303   ,南亞         ,20190411,    77.0000
6505   ,台塑化       ,20190411,   113.0000
1326   ,台化         ,20190412,   108.5000
1301   ,台塑         ,20190412,   108.5000
1303   ,南亞         ,20190412,    76.5000
6505   ,台塑化       ,20190412,   113.5000
1326   ,台化         ,20190415,   108.5000
